"County Code","County","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"01003","Baldwin County, AL",".",".",".",".","0.07","0.063",".",".",".","18","8.6",".",".","."
"01027","Clay County, AL",".",".",".",".",".",".",".",".",".","25","8.3",".",".","."
"01033","Colbert County, AL",".",".",".",".","0.07","0.057",".",".",".","16","8.7",".",".","."
"01049","DeKalb County, AL",".",".",".",".","0.07","0.065",".",".",".","19","9",".",".","."
"01051","Elmore County, AL",".",".",".",".","0.07","0.061",".",".",".",".",".",".",".","."
"01055","Etowah County, AL",".",".",".",".","0.07","0.06",".",".",".","18","9.1",".",".","."
"01069","Houston County, AL",".",".",".",".","0.07","0.061",".",".",".","15","7.3",".",".","."
"01073","Jefferson County, AL","6.9","1.9","40","13","0.09","0.073","17","4","1","24","11.8","73","24","0.02"
"01089","Madison County, AL",".",".",".",".","0.07","0.063",".",".",".","19","8.6","52","22","."
"01097","Mobile County, AL",".",".",".",".","0.08","0.063",".",".",".","19","8.4",".",".","."
"01101","Montgomery County, AL",".",".",".",".","0.08","0.063",".",".",".","19","9.1",".",".","."
"01103","Morgan County, AL",".",".",".",".","0.07","0.063",".",".",".","17","8.8",".",".","."
"01109","Pike County, AL",".",".",".",".",".",".",".",".",".",".",".",".",".","0.07"
"01113","Russell County, AL",".",".",".",".","0.07","0.062",".",".",".","20","9.9",".",".","."
"01117","Shelby County, AL",".",".",".",".","0.08","0.065",".",".",".",".",".",".",".","."
"01119","Sumter County, AL",".",".",".",".","0.07","0.057",".",".",".",".",".",".",".","."
"01121","Talladega County, AL",".",".",".",".",".",".",".",".",".","22","10",".",".","."
"01125","Tuscaloosa County, AL",".",".",".",".","0.07","0.062",".",".",".","17","8.7",".",".","."
"02020","Anchorage Borough, AK","4.9","2.8",".",".",".",".",".",".",".","18","6.3","75","17","."
"02068","Denali Borough, AK",".",".",".",".","0.06","0.054",".",".",".",".",".",".",".","."
"02090","Fairbanks North Star Borough, AK","4.5","2.4","68","13","0.06","0.045","34","26","7","112","21.4","229","23","."
"02110","Juneau Borough, AK",".",".",".",".",".",".",".",".",".","21","6.6",".",".","."
"02170","Matanuska-Susitna Borough, AK",".",".",".",".","0.05","0.047",".",".",".","38","6.8","158","14","."
"04001","Apache County, AZ",".",".",".",".",".",".",".",".",".",".",".","32","12","."
"04003","Cochise County, AZ",".",".",".",".","0.07","0.065",".",".",".","11","5.2","84","27","."
"04005","Coconino County, AZ",".",".",".",".","0.08","0.07",".",".",".",".",".",".",".","."
"04007","Gila County, AZ",".",".",".",".","0.09","0.073","246","36","6",".",".","109","26","0.12"
"04012","La Paz County, AZ",".",".","5","1","0.07","0.07","3","2","1",".",".","62","12","."
"04013","Maricopa County, AZ","4","2.6","61","22","0.1","0.077","9","5","1","28","9","200","36","0.01"
"04015","Mohave County, AZ",".",".",".",".",".",".",".",".",".",".",".","68","19","."
"04017","Navajo County, AZ",".",".",".",".","0.07","0.061",".",".",".",".",".","35","14","."
"04019","Pima County, AZ","2","1.4","40","9","0.08","0.066","5","1","0","11","5.1","65","26","0"
"04021","Pinal County, AZ",".",".",".",".","0.09","0.074",".",".",".","25","10.2","985","65","."
"04023","Santa Cruz County, AZ",".",".",".",".",".",".",".",".",".","27","9",".",".","."
"04025","Yavapai County, AZ",".",".",".",".","0.08","0.067",".",".",".",".",".",".",".","."
"04027","Yuma County, AZ",".",".",".",".","0.09","0.077",".",".",".",".",".","182","38","."
"05001","Arkansas County, AR",".",".",".",".",".",".",".",".",".","20","8.9",".",".","."
"05003","Ashley County, AR",".",".",".",".",".",".",".",".",".","18","8.2",".",".","."
"05019","Clark County, AR",".",".",".",".","0.07","0.06",".",".",".",".",".",".",".","."
"05035","Crittenden County, AR",".",".","36","7","0.08","0.066",".",".",".","18","8.7",".",".","."
"05051","Garland County, AR",".",".",".",".",".",".",".",".",".","20","9.8",".",".","."
"05067","Jackson County, AR",".",".",".",".",".",".",".",".",".","18","8.2",".",".","."
"05101","Newton County, AR",".",".",".",".","0.07","0.061",".",".",".",".",".",".",".","."
"05113","Polk County, AR",".",".",".",".","0.07","0.065",".",".",".","18","8.2",".",".","."
"05119","Pulaski County, AR","1.2","1","45","9","0.09","0.065","23","8","1","22","10.9","47","21","."
"05139","Union County, AR",".",".",".",".",".",".","20","5","2","21","8.7",".",".","."
"05143","Washington County, AR",".",".",".",".","0.07","0.064",".",".",".","17","7.8",".",".","."
