"County Code","County","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"06039","Madera County, CA","2.3","1","31","6","0.1","0.085",".",".",".","46","12.5","128","34","."
"06041","Marin County, CA","1.9","1.1","44","10","0.08","0.057",".",".",".","37","9.7",".",".","."
"06043","Mariposa County, CA",".",".",".",".","0.11","0.078",".",".",".",".",".","123","23","."
"06045","Mendocino County, CA",".",".",".",".","0.07","0.057",".",".",".","34","9.4","78","13","."
"06047","Merced County, CA",".",".","35","7","0.09","0.078",".",".",".","45","13.3","94","35","."
"06051","Mono County, CA",".",".",".",".",".",".",".",".",".",".",".","2538","71","."
"06053","Monterey County, CA","1.6","0.8","27","4","0.07","0.057",".",".",".","29","7.9","95","29","."
"06055","Napa County, CA","4.8","3.4","35","7","0.09","0.065",".",".",".","54","13.7",".",".","."
"06057","Nevada County, CA",".",".",".",".","0.11","0.09",".",".",".","32","5.8",".",".","."
"06059","Orange County, CA","3","2.5","65","23","0.1","0.082",".",".",".","42","13.5","111","26","."
"06061","Placer County, CA",".",".","40","8","0.11","0.082",".",".",".","28","7.4","64","15","."
"06063","Plumas County, CA",".",".",".",".",".",".",".",".",".","56","15.1",".",".","."
"06065","Riverside County, CA","2.2","1.8","58","15","0.14","0.109","2","1","0","40","14.6","251","57","0.01"
"06067","Sacramento County, CA","1.8","1.6","50","10","0.1","0.079",".",".",".","40","10.8","87","23","."
"06069","San Benito County, CA",".",".",".",".","0.08","0.066",".",".",".","20","5.1","74","19","."
"06071","San Bernardino County, CA","4.1","1.6","77","32","0.15","0.114","28","5","1","38","14.6","156","38","0.01"
"06073","San Diego County, CA","1.9","1.4","52","16","0.11","0.09","1","0","0","19","9.6","67","27","0.02"
"06075","San Francisco County, CA","2","1.3","59","11","0.06","0.047",".",".",".","35","9.7","52","21","."
"06077","San Joaquin County, CA","2.2","1.9","52","11","0.09","0.075",".",".",".","47","12.2","159","29","."
"06079","San Luis Obispo County, CA",".",".","32","4","0.08","0.071","0","0","0","26","9.6","138","39","."
"06081","San Mateo County, CA","2.6","1.4","46","11","0.11","0.055",".",".",".","32","9.1",".",".","."
